pid,smd_prp,Country,MPA,MPA_shr,AvgExp,socmed,ud_to_vis,est_vis,est_exp,corals,mangroves,beach,temp,dayshot,precip,daysrain,vis_log,protected,prop_land,wildlife,C3P,air_min_dist,ports_min_dist,ruins,sargassum,roads_min_dist
0,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.389921188354492,8.836996078491211,2510.1103515625,249.6923065185547,0,1,1,0,0.001125,42072.07493565633,33281.195595518766,0,0,0
1,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,0,1,1,0,9.64e-4,33465.92073581062,36304.15049335531,0,0,1000
2,5.251786737e-6,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,42.260967914578025,2536,0,0,0,26.389921188354492,8.836996078491211,2510.1103515625,249.6923065185547,3.767250794629165,1,1,0,0.001125,44377.06719819328,29805.02166884522,0,0,1000
3,1.3919864035e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,112.01272192070421,6721,0,0,0,26.389921188354492,8.836996078491211,2510.1103515625,249.6923065185547,4.727500395744372,1,1,0,9.64e-4,40100.852602468294,33265.681557609896,0,0,0
4,1.9678878191e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,158.3553334269255,9501,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,5.071136510192953,1,1,0,9.64e-4,35521.948964703406,35429.14503933795,0,0,0
5,2.9636541544e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,238.4843471396357,14309,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,5.47848805830444,1,1,0,9.64e-4,31701.50296062545,31343.179879438663,0,0,0
6,9.097939317e-6,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,73.21084058035217,4393,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,4.30691023896751,1,1,0,8.98e-4,27553.03834125052,27560.520248578203,0,0,1000
7,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,0,1,1,0,7.51e-4,26897.54724532302,24322.942305132885,0,0,3154.847788487387
8,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,0,1,1,0,8.98e-4,25002.868989484625,24331.293070498486,0,0,1000
9,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,0,1,1,0,7.51e-4,26135.439316876957,21828.897177851766,0,0,5734.6185320513205
10,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,26.389921188354492,8.836996078491211,2510.1103515625,249.6923065185547,0,1,1,0,8.77e-4,44182.10203330028,30930.08997207523,0,0,1000
11,7.02817078e-7,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,5.655547620378455,339,0,0,0,26.389921188354492,8.836996078491211,2510.1103515625,249.6923065185547,1.895450735520802,1,1,0,9.64e-4,39978.78058519209,35054.54077408863,0,0,1000
12,4.84556957e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,389.9215074422502,23395,0,0,0,23.728147506713867,0.283882766962051,2386.95068359375,245.22344970703125,5.968506791603204,1,1,0,9.64e-4,35979.99993453454,31065.08108533187,0,0,0
