pid,MPA,beach,mangrove,wildlife,forest,ruins,roads,develop,cellarea,prop_coral,pa_min_dist,country
0,Cuyamel Omoa,0,0,0,0,0,1,1,1264337.4605614543,0,31983.92568585132,Honduras
1,Cuyamel Omoa,0,0,0,0,0,0,0,4111025.6816457286,0,33457.919107125424,Honduras
2,Cuyamel Omoa,0,0,0,0,0,0,1,12540503.289083187,0,28684.109561336198,Honduras
3,Cuyamel Omoa,0,0,0,0,0,1,1,20287437.34983945,0,31488.44809561166,Honduras
4,Cuyamel Omoa,0,0,0,0,0,1,1,18564607.438254118,0,35420.79522502653,Honduras
5,Cuyamel Omoa,0,0,0,0,0,1,1,19618768.508699,0,31335.56385963304,Honduras
6,Cuyamel Omoa,0,0,0,0,0,0,0,15129707.393446803,0,27546.126171074975,Honduras
8,Cuyamel Omoa,0,0,0,0,0,0,0,15021298.608825088,0,24325.061112544816,Honduras
10,Cuyamel Omoa,0,0,0,0,0,0,0,10846399.947323428,0,28968.090208864814,Honduras
11,Cuyamel Omoa,0,0,0,0,0,0,0,19222863.949048832,0,32912.82741728607,Honduras
12,Cuyamel Omoa,0,0,0,1,0,1,1,21650635.09461689,0,31057.64539444779,Honduras
13,Cuyamel Omoa,0,0,0,1,0,1,0,21650635.09460926,0.015394226402152201,26774.28179195858,Honduras
14,Cuyamel Omoa,0,0,0,1,0,1,1,21650635.094613314,0.008433891628860336,22784.797420716804,Honduras
15,Zona de Interconexion,0,0,0,0,0,0,0,16290037.39845115,0,19272.566552770713,Honduras
16,Cuyamel Omoa,0,0,0,0,0,0,0,4556023.72005868,0,22091.350504281152,Honduras
17,Zona de Interconexion,0,0,0,0,0,0,0,2587769.3555336595,0,16552.08020319653,Honduras
18,Cuyamel Omoa,0,0,0,0,0,0,0,367548.4956947826,0,32357.893792003768,Honduras
19,Cuyamel Omoa,0,1,0,1,0,0,0,12745642.468543947,0.03809001308627609,31579.061298484754,Honduras
20,Cuyamel Omoa,0,0,0,1,0,0,0,21650635.09460962,0.2325923120534062,26916.945230121735,Honduras
21,Cuyamel Omoa,0,0,0,0,0,0,0,21650635.094608784,0.08764395661159734,22401.043916506733,Honduras
22,Zona de Interconexion,1,1,0,1,0,1,0,13097191.862307101,0.05520113246248672,18140.881912883215,Honduras
23,Cuyamel Omoa,1,1,0,1,0,1,0,8553424.86144483,0.09143750218056694,20951.082890663187,Honduras
24,Zona de Interconexion,0,0,0,1,0,0,0,21650635.094610572,0,14365.807481832388,Honduras
25,Zona de Interconexion,0,0,0,0,0,0,0,13155481.029087067,0,11505.539692593811,Honduras
26,Zona de Interconexion,0,0,0,0,0,0,0,474385.3745479211,0,9366.84203277539,Honduras
27,Jeannette Kawas,0,0,0,0,0,0,0,877864.8355207071,0,21358.705614510352,Honduras
28,Jeannette Kawas,0,0,0,0,0,0,0,9749402.157586038,0,22805.380785517988,Honduras
29,Jeannette Kawas,0,0,0,0,0,0,0,308828.83702781796,0,23961.10065051228,Honduras
30,Jeannette Kawas,0,0,0,0,0,0,0,937880.6135433824,0,11477.142323259546,Honduras
31,Punta Izopo,0,0,0,0,0,0,0,10895401.184299588,0,8036.151951549204,Honduras
32,Punta Izopo,0,0,0,0,0,0,0,5623255.794597745,0,12047.281225124543,Honduras
33,Río Sarstun,0,0,0,0,0,0,0,2692482.408376428,0,26107.516960135672,Guatemala
34,Río Sarstun,0,0,0,0,0,0,1,5634629.635517102,0,21722.293341026656,Guatemala
35,Cuyamel Omoa,0,0,0,0,0,0,0,7667430.910007462,0,28248.999962519567,Honduras
36,Cuyamel Omoa,0,0,0,0,0,0,0,12223112.313032577,0.04109182012091563,23456.694155168654,Honduras
37,Zona de Interconexion,0,0,0,0,0,0,0,4786193.641043484,0,18350.786675870928,Honduras
38,Cuyamel Omoa,0,0,0,0,0,0,0,9089058.29080069,0,20351.73536826863,Honduras
39,Zona de Interconexion,1,0,0,1,0,1,0,21650635.094613552,0.0666294768546439,13749.043590417607,Honduras
40,Zona de Interconexion,0,0,0,1,0,1,1,21650635.09460795,6.2357470988401405e-6,9556.203622733183,Honduras
41,Zona de Interconexion,0,0,0,1,0,0,0,21650635.094608903,0,6505.539692594037,Honduras
42,Zona de Interconexion,0,0,0,0,0,0,0,10647427.369890332,0,4762.597268405256,Honduras
43,Zona de Interconexion,0,0,0,0,0,0,0,1530028.6881744564,0,6734.022495384253,Honduras
44,Jeannette Kawas,0,0,0,0,0,0,0,793186.7938340902,0,17054.103468484962,Honduras
45,Jeannette Kawas,0,0,0,0,0,0,0,20333390.274848863,0,18781.51132946037,Honduras
46,Jeannette Kawas,0,0,0,0,0,0,0,21317818.106892705,0,21417.62366279292,Honduras
47,Jeannette Kawas,0,0,0,0,0,0,0,14086799.02640152,0,16421.60439745544,Honduras
48,Jeannette Kawas,0,0,0,0,0,0,0,20774983.2117486,0,11429.067267802602,Honduras
49,Jeannette Kawas,0,0,0,0,0,0,0,16380183.610628486,0,6448.1056316927225,Honduras
50,Jeannette Kawas,0,1,0,1,0,1,0,10575230.473075151,0,1674.7596363405944,Honduras
51,Punta Izopo,0,0,0,0,0,0,0,10644356.235089839,0,5472.89056038187,Honduras
52,Punta Izopo,0,0,0,0,0,1,0,21650635.094613552,0,8342.144519842392,Honduras
53,Punta Izopo,0,0,0,0,0,1,1,11729948.358059764,0,13316.821382345091,Honduras
54,Punta Izopo,0,0,0,0,0,0,0,440884.5855257213,0,18305.30219003791,Honduras
55,Río Sarstun,0,0,0,0,0,0,1,12939819.602685545,0,27750.210581150444,Guatemala
56,Río Sarstun,0,0,0,1,0,0,0,21650635.09461111,0,22782.102352655893,Guatemala
57,Río Sarstun,0,0,0,1,0,0,0,19087682.86922604,0,17831.83075053496,Guatemala
58,Río Sarstun,0,0,0,1,0,0,0,2558981.992064325,0,14568.231050932576,Guatemala
59,Río Sarstun,0,0,0,1,0,0,1,1851508.7712841798,0,8116.291550533195,Guatemala
60,Río Sarstun,0,0,0,1,0,0,1,6154696.410970926,0,4640.517815156249,Guatemala
