pid,country,name_2,coral_prop,forest,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
0,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,52733.792985790984
1,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,1,0,49936.45761760524
2,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,1,1,47927.394995364324
3,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,44269.01479073575
4,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,42942.75034541089
5,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,40485.23291874553
6,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,37719.62151876749
7,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,35104.99996912339
8,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,35849.568941651414
9,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,32737.132553536456
10,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,30104.999969124117
11,Guatemala,MPA Río Sarstun,0,1,0,1,0,0,0,0,30970.011198108714
12,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,27750.21058115033
13,Guatemala,MPA Río Sarstun,0,1,0,1,0,0,0,1,27760.941052792743
14,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,26107.516960137087
15,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,25104.99996912427
16,Guatemala,MPA Río Sarstun,0,1,0,1,1,0,0,0,26136.021003966514
17,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,22782.102352657395
18,Guatemala,MPA Río Sarstun,0,1,0,1,1,0,0,1,22795.171603772986
19,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,21722.262947645035
20,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,20104.999969123644
21,Guatemala,MPA Río Sarstun,0,1,0,1,1,0,0,0,21507.741379970226
22,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,17831.83075053496
23,Guatemala,MPA Río Sarstun,0,1,0,1,1,0,0,1,17848.52511425342
24,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,15104.99996912375
25,Guatemala,MPA Río Sarstun,0,1,0,1,1,0,0,1,16762.803898432743
26,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,14568.231050931392
27,Guatemala,MPA Río Sarstun,0,1,1,1,1,0,0,1,12942.945919028023
28,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,10104.9999691233
29,Guatemala,MPA Río Sarstun,0,0,0,0,1,0,0,0,13104.874794522455
30,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,8116.291550534449
31,Guatemala,MPA Río Sarstun,0,1,1,1,1,0,0,0,8152.904351927832
32,Mexico,Reserva Estatal de Dzilam,0,0,0,0,1,0,0,0,1194.1921249750412
33,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,5104.999969123671
34,Guatemala,MPA Río Sarstun,0,1,0,0,1,0,0,0,9178.317655760804
35,Mexico,Reserva Estatal de Dzilam,0,1,1,1,1,0,1,0,300.7794474616571
36,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,1,4640.47479458206
37,Guatemala,MPA Río Sarstun,0,1,1,0,1,0,0,0,3926.811643105004
38,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,1524.8603317808202
39,Guatemala,MPA Río Sarstun,0,1,1,1,0,0,0,1,807.7160810911743
40,Belize,Port Honduras,0,0,0,1,0,0,0,0,4469.780939834562
41,Mexico,Reserva Estatal de Dzilam,0,1,0,1,1,0,0,0,3168.075295592075
42,Guatemala,MPA Río Sarstun,0,1,0,0,0,0,0,0,3338.4174270860226
43,Belize,Port Honduras,0,1,0,1,0,0,0,0,8081.8710628092995
44,Mexico,Reserva Estatal de Dzilam,0,1,1,1,1,0,0,0,5831.871620362436
45,Belize,Port Honduras,0.6433618445518781,0,0,1,0,0,0,0,6601.438096980774
46,Belize,Port Honduras,0.16147308781869688,0,0,1,0,0,0,0,12748.36981144023
47,Mexico,Reserva Estatal de Dzilam,0,1,0,1,1,0,0,0,8167.629663145161
48,Mexico,Reserva Estatal de Dzilam,0,0,0,0,1,0,0,0,10453.270627122889
49,Belize,Port Honduras,0.45454545454545453,0,0,1,0,0,0,0,10950.803937196028
50,Belize,Port Honduras,0,0,0,1,0,0,0,0,17774.83164262228
51,Mexico,Reserva Estatal de Dzilam,0,1,0,0,0,0,0,0,13271.509786073442
52,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,10755.658967824773
53,Belize,Port Honduras,0.2500980007840063,0,0,0,0,0,0,0,11342.517708131933
54,Belize,Port Honduras,0.6869158878504673,0,0,1,0,0,0,0,15729.034598479662
55,Mexico,Reserva Estatal de Dzilam,0,1,0,1,1,0,0,0,13167.522452991958
56,Mexico,Reserva Estatal de Dzilam,0,0,1,0,1,0,0,0,14350.358990281959
57,Belize,Port Honduras,0.44029850746268656,0,0,1,0,0,0,0,15152.00348007344
58,Belize,Port Honduras,1,0,0,1,0,0,0,0,20612.737613656293
59,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,15727.608625213637
60,Mexico,Reserva Estatal de Dzilam,0,0,0,0,1,0,0,0,19978.808939793696
61,Belize,Port Honduras,0.23963133640552994,0,0,0,0,0,0,0,16239.973196082097
62,Belize,Port Honduras,0.9128043990573449,0,0,1,0,0,0,0,19546.499225933578
63,Belize,Port Honduras,0,0,0,0,0,0,0,0,25659.729601614967
64,Mexico,Reserva Estatal de Dzilam,0,1,0,0,1,0,0,0,18167.474254442117
65,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,19042.223514749505
66,Belize,Port Honduras,0.8585067319461445,0,0,1,0,0,0,0,19729.32619349639
67,Belize,Port Honduras,0.7936507936507936,0,1,1,1,0,0,0,24177.428616763496
68,Mexico,Reserva Estatal de Dzilam,0,1,0,1,1,0,0,0,20713.06704241694
69,Mexico,Reserva Estatal de Dzilam,0,0,1,1,1,0,0,0,22975.09259401418
70,Belize,Port Honduras,0.9282982791586998,0,0,0,0,0,0,0,21185.63308704254
