pid,est_vis,vis_log,country,name_2,cellarea,coral_prop,forest,forest_prop,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist,temp,hotdays,precip
0,0,0,Guatemala,MPA Río Sarstun,990519.0760554299,0,1,0.018115942028986,0,0,0,0,0,0,52733.792985790984,26.10437774658203,8.722275733947754,3147.1640625
1,21.000830392516875,3.09108019776039,Guatemala,MPA Río Sarstun,983546.5993151646,0,1,0.011893870082342,0,0,0,0,1,0,49936.45761760524,26.10437774658203,8.722275733947754,3147.1640625
2,28.806190936366846,3.3947161214769226,Guatemala,MPA Río Sarstun,10398767.10665404,0,1,0.03868790029427,0,0,0,0,1,1,47927.394995364324,26.10437774658203,8.722275733947754,3147.1640625
3,0,0,Guatemala,MPA Río Sarstun,11670730.806344314,0,1,0.07483045622688,0,0,0,0,0,0,44269.01479073575,26.10437774658203,8.722275733947754,3147.1640625
4,0,0,Guatemala,MPA Río Sarstun,4435090.172495529,0,1,0.228612070717334,0,0,0,0,0,0,42942.75034541089,26.10437774658203,8.722275733947754,3147.1640625
5,0,0,Guatemala,MPA Río Sarstun,10439553.924737748,0,1,0.105721178700672,0,0,0,0,0,0,40485.23291874553,26.10437774658203,8.722275733947754,3147.1640625
6,0,0,Guatemala,MPA Río Sarstun,16592637.4206765,0,1,0.137585347350168,0,0,0,0,0,1,37719.62151876749,26.10437774658203,8.722275733947754,3147.1640625
7,0,0,Guatemala,MPA Río Sarstun,13207848.955789585,0,1,0.332036582036582,0,0,0,0,0,0,35104.99996912339,26.585664749145508,10.336894035339355,3101.247314453125
8,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,13087279.98810886,0,1,0.467466225530742,0,0,0,0,0,0,35849.568941651414,26.10437774658203,8.722275733947754,3101.247314453125
9,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,21650635.09461072,0,1,0.526879488563245,0,0,0,0,0,1,32737.132553536456,26.585664749145508,10.336894035339355,3101.247314453125
10,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,17348780.455358606,0,1,0.482356598787502,0,0,0,0,0,1,30104.999969124117,26.585664749145508,10.336894035339355,3101.247314453125
11,0,0,Guatemala,MPA Río Sarstun,14315854.516765967,0,1,0.866193645610951,0,1,0,0,0,0,30970.011198108714,26.585664749145508,10.336894035339355,3101.247314453125
12,0,0,Guatemala,MPA Río Sarstun,12939825.486374643,0,1,0.299825844653431,0,0,0,0,0,1,27750.21058115033,26.178407669067383,8.65886116027832,2953.671630859375
13,0,0,Guatemala,MPA Río Sarstun,21650635.0946106,0,1,0.240621873957986,0,1,0,0,0,1,27760.941052792743,26.585664749145508,10.336894035339355,3101.247314453125
14,0,0,Guatemala,MPA Río Sarstun,2692516.798148014,0,1,0.231231231231231,0,0,0,0,0,0,26107.516960137087,26.178407669067383,8.65886116027832,2953.671630859375
15,0,0,Guatemala,MPA Río Sarstun,21650635.09461102,0,1,0.403918801112541,0,0,0,0,0,1,25104.99996912427,26.585664749145508,10.336894035339355,3101.247314453125
16,0,0,Guatemala,MPA Río Sarstun,9745027.895827841,0,1,0.791632031033527,0,1,1,0,0,0,26136.021003966514,26.585664749145508,10.336894035339355,3101.247314453125
17,0,0,Guatemala,MPA Río Sarstun,21650635.094611198,0,1,0.532422783128529,0,0,0,0,0,0,22782.102352657395,26.178407669067383,8.65886116027832,2953.671630859375
18,0,0,Guatemala,MPA Río Sarstun,21650635.0946106,0,1,0.555375674553757,0,1,1,0,0,1,22795.171603772986,26.585664749145508,10.336894035339355,3101.247314453125
19,0,0,Guatemala,MPA Río Sarstun,5634687.517463064,0,1,0.234767311690389,0,0,0,0,0,1,21722.262947645035,26.178407669067383,8.65886116027832,2953.671630859375
20,0,0,Guatemala,MPA Río Sarstun,21650635.094611138,0,1,0.510128376125375,0,0,0,0,0,1,20104.999969123644,26.585664749145508,10.336894035339355,3101.247314453125
21,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,4124468.133524161,0,1,0.912568306010929,0,1,1,0,0,0,21507.741379970226,26.585664749145508,10.336894035339355,3101.247314453125
22,0,0,Guatemala,MPA Río Sarstun,19087629.4468056,0,1,0.352007161703732,0,0,0,0,0,0,17831.83075053496,26.178407669067383,8.65886116027832,2953.671630859375
