pid,est_vis,vis_log,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist,temp,hotdays,precip
0,0,0,Guatemala,MPA Río Sarstun,0.04110318512859948,0,0,0,0.018148345962761023,0,0,0,0,0,0,0.5293612599474865,0.6799748312176442,0.1712733591856046,1
1,21.000830392516875,3.09108019776039,Guatemala,MPA Río Sarstun,0.0407795719537267,0,0,0,0.011880051109795205,0,0,0,0,1,0,0.5012805759845963,0.6799748312176442,0.1712733591856046,1
2,28.806190936366846,3.3947161214769226,Guatemala,MPA Río Sarstun,0.4777676773297927,0,0,0,0.038636303528564925,0,0,0,0,1,1,0.4811128645266055,0.6799748312176442,0.1712733591856046,1
3,0,0,Guatemala,MPA Río Sarstun,0.536803257728736,0,0,0,0.07478096685301652,0,0,0,0,0,0,0.44438869497917816,0.6799748312176442,0.1712733591856046,1
4,0,0,Guatemala,MPA Río Sarstun,0.2009758717102076,0,0,0,0.2279921878449673,0,0,0,0,0,0,0.43107516340768853,0.6799748312176442,0.1712733591856046,1
5,0,0,Guatemala,MPA Río Sarstun,0.4796607136474047,0,0,0,0.10564100366070117,0,0,0,0,0,0,0.40640569725202996,0.6799748312176442,0.1712733591856046,1
6,0,0,Guatemala,MPA Río Sarstun,0.7652434354769316,0,0,0,0.13753624894698552,0,0,0,0,0,1,0.37864347018044453,0.6799748312176442,0.1712733591856046,1
7,0,0,Guatemala,MPA Río Sarstun,0.608145436846228,0,0,0,0.3310706250482435,0,0,0,0,0,0,0.3523969349050778,0.7757942995062316,0.19991858431627607,0.9803128717260466
8,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,0.6025494760598736,0,0,0,0.4657772683430313,0,0,0,0,0,0,0.3598711928163462,0.6799748312176442,0.1712733591856046,0.9803128717260466
9,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,0.9999999999998991,0,0,0,0.5269013616738905,0,0,0,0,0,1,0.3286274086196949,0.7757942995062316,0.19991858431627607,0.9803128717260466
10,0.867262282238276,0.624473337948375,Guatemala,MPA Río Sarstun,0.8003382600603268,0,0,0,0.48228524683241564,0,0,0,0,0,1,0.30220509112000765,0.7757942995062316,0.19991858431627607,0.9803128717260466
11,0,0,Guatemala,MPA Río Sarstun,0.6595712372786031,0,0,0,0.8661125396662978,0,1,0,0,0,0,0.31088839281551417,0.7757942995062316,0.19991858431627607,0.9803128717260466
12,0,0,Guatemala,MPA Río Sarstun,0.5957056784778858,0,0,0,0.2989604518829585,0,0,0,0,0,1,0.27856684689842,0.69471345447613575,0.1701483101645692,0.9170387607184349
13,0,0,Guatemala,MPA Río Sarstun,0.9999999999998935,0,0,0,0.23966290269015017,0,1,0,0,0,1,0.2786745633297032,0.7757942995062316,0.19991858431627607,0.9803128717260466
14,0,0,Guatemala,MPA Río Sarstun,0.12009791067452652,0,0,0,0.23133679316173086,0,0,0,0,0,0,0.262076882575892,0.69471345447613575,0.1701483101645692,0.9170387607184349
15,0,0,Guatemala,MPA Río Sarstun,0.9999999999999128,0,0,0,0.40393556957822907,0,0,0,0,0,1,0.25201324733493174,0.7757942995062316,0.19991858431627607,0.9803128717260466
16,0,0,Guatemala,MPA Río Sarstun,0.44742571572344375,0,0,0,0.7905299100647929,0,1,1,0,0,0,0.2623630166789179,0.7757942995062316,0.19991858431627607,0.9803128717260466
17,0,0,Guatemala,MPA Río Sarstun,0.9999999999999212,0,0,0,0.5324227831285452,0,0,0,0,0,0,0.22869514447604494,0.69471345447613575,0.1701483101645692,0.9170387607184349
18,0,0,Guatemala,MPA Río Sarstun,0.9999999999998935,0,0,0,0.5554217867818325,0,1,1,0,0,1,0.22882633843812128,0.7757942995062316,0.19991858431627607,0.9803128717260466
19,0,0,Guatemala,MPA Río Sarstun,0.2566527165151611,0,0,0,0.23416722913797772,0,0,0,0,0,1,0.21805608570531498,0.69471345447613575,0.1701483101645692,0.9170387607184349
20,0,0,Guatemala,MPA Río Sarstun,0.9999999999999184,0,0,0,0.5080953171703924,0,0,0,0,0,1,0.20182140354984807,0.7757942995062316,0.19991858431627607,0.9803128717260466
21,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,0.18655898830398837,0,0,0,0.9098261711973191,0,1,1,0,0,0,0.21590263910266222,0.7757942995062316,0.19991858431627607,0.9803128717260466
22,0,0,Guatemala,MPA Río Sarstun,0.8810433615197372,0,0,0,0.3518006511315744,0,0,0,0,0,0,0.1790024926865581,0.69471345447613575,0.1701483101645692,0.9170387607184349
23,33.32903796265099,3.5359915838509304,Guatemala,MPA Río Sarstun,0.9974753279474259,0,0,0,0.8726674474171602,0,1,1,0,0,1,0.17917007686572778,0.7757942995062316,0.19991858431627607,0.9803128717260466
24,17.531781263563772,2.9194871643098987,Guatemala,MPA Río Sarstun,0.9749473278333824,0,0,0,0.2881963922253629,0,0,0,0,0,1,0.15162955976477172,0.7757942995062316,0.19991858431627607,0.9803128717260466
25,54.329868355167875,4.013312877640386,Guatemala,MPA Río Sarstun,0.32362240721229696,0,0,0,0.3936821683562172,0,1,1,0,0,1,0.1682712069340046,0.7757942995062316,0.19991858431627607,0.9803128717260466
26,0,0,Guatemala,MPA Río Sarstun,0.11390199252896352,0,0,0,0.36774152709887326,0,0,0,0,0,0,0.14624127542665255,0.69471345447613575,0.1701483101645692,0.9170387607184349
27,219.73472465599903,5.396961639608495,Guatemala,MPA Río Sarstun,0.9990401118375072,0,0,0,0.49931455893844073,1,1,1,0,0,1,0.12992606393731196,0.7757942995062316,0.19991858431627607,0.9803128717260466
28,16.664518981325497,2.8715580503993507,Guatemala,MPA Río Sarstun,0.7283612889031666,0,0,0,0.39734927443077295,0,0,0,0,0,1,0.10143771597968977,0.7757942995062316,0.19991858431627607,0.9803128717260466
