pid,country,name_2,cellarea,coral_prop,coral_prop25,coral_prop75,forest_prop,beach,wildlife,ruins,roads,develop,pa_min_dist,mangrove_prop
0,Guatemala,MPA Río Sarstun,990519.0760554299,0,0,0,0.993621941461166,0,0,0,0,0,52733.792985790984,0
1,Guatemala,MPA Río Sarstun,983546.5993151646,0,0,0,0.9485763886128786,0,0,0,1,0,49936.45761760524,0
2,Guatemala,MPA Río Sarstun,10398767.10665404,0,0,0,0.985096087953142,0,0,0,1,1,47927.394995364324,0
3,Guatemala,MPA Río Sarstun,11670730.806344314,0,0,0,0.9043799111791689,0,0,0,0,0,44269.01479073575,0
4,Guatemala,MPA Río Sarstun,4435090.172495529,0,0,0,0.9972884945645192,0,0,0,0,0,42942.75034541089,0
5,Guatemala,MPA Río Sarstun,10439553.924737748,0,0,0,0.9599814106086537,0,0,0,0,0,40485.23291874553,0
6,Guatemala,MPA Río Sarstun,16592637.4206765,0,0,0,0.9711500083188485,0,0,0,0,1,37719.62151876749,0
7,Guatemala,MPA Río Sarstun,13207848.955789585,0,0,0,0.7870838333623812,0,0,0,0,0,35104.99996912339,0
8,Guatemala,MPA Río Sarstun,13087279.98810886,0,0,0,0.814045703578583,0,0,0,0,0,35849.568941651414,0
9,Guatemala,MPA Río Sarstun,21650635.09461072,0,0,0,0.7516190634341149,0,0,0,0,1,32737.132553536456,0
10,Guatemala,MPA Río Sarstun,17348780.455358606,0,0,0,0.8163463996496265,0,0,0,0,1,30104.999969124117,0
11,Guatemala,MPA Río Sarstun,14315854.516765967,0,0,0,0.9155867463540138,0,0,0,0,0,30970.011198108714,0
12,Guatemala,MPA Río Sarstun,12939825.486374643,0,0,0,0.925429856049409,0,0,0,0,1,27750.21058115033,0
13,Guatemala,MPA Río Sarstun,21650635.0946106,0,0,0,0.37715875124545545,0,0,0,0,1,27760.941052792743,0
14,Guatemala,MPA Río Sarstun,2692516.798148014,0,0,0,0.7494243876595754,0,0,0,0,0,26107.516960137087,0
15,Guatemala,MPA Río Sarstun,21650635.09461102,0,0,0,0.557040850215897,0,0,0,0,1,25104.99996912427,0
